Property ID,Listing Type,State,City,City Tier,Latitude,Longitude,Property Type,BHK,Size (SqFt),Price (INR),Price Per SqFt,Days on Market (DOM),DOM Status,Year Listed,Month Listed,Year Built,Property Age Classification,RERA Status,Furnishing Status,Parking (PKT),Gym,Swimming Pool (SWM),Elevator (ELV),Total Amenities
PROP-00028,Sale,Gujarat,Ahmedabad,Tier 2,23.070629709049726,72.58557343972986,Apartment,1,450,2657158.98,5904.8,324,Stale,2025,July,2020,Modern (2016-2022),Awaiting Approval,Fully Furnished,Yes,No,No,Yes,2
PROP-00029,Sale,Delhi,Delhi NCR,Tier 1,28.589553006244426,77.22614791486673,Independent House/Villa,3,2389,26479524.6,11083.94,56,Fast,2025,August,2023,New (2023-2026),RERA Approved,Semi-Furnished,Yes,No,No,Yes,2
PROP-00030,Sale,Gujarat,Ahmedabad,Tier 2,23.03791746014741,72.58462821536376,Apartment,1,445,2691358.97,6048.0,213,Stale,2024,November,2019,Modern (2016-2022),RERA Approved,Semi-Furnished,Yes,No,Yes,No,2
PROP-00031,Rental,Maharashtra,Mumbai,Tier 1,19.045809763275976,72.84759921389595,Independent House/Villa,2,1758,83634.11,47.57,42,Fast,2024,September,2023,New (2023-2026),RERA Approved,Semi-Furnished,Yes,No,No,Yes,2
PROP-00032,Sale,Maharashtra,Pune,Tier 1,18.52693302545716,73.84853338641024,Apartment,2,992,6049880.84,6098.67,104,Moderate,2023,March,2018,Modern (2016-2022),RERA Approved,Unfurnished,Yes,No,No,Yes,2
PROP-00033,Sale,Delhi,Delhi NCR,Tier 1,28.610293248668835,77.23409397983633,Apartment,2,1165,14602808.0,12534.6,197,Stale,2023,July,2003,Vintage (2001-2015),RERA Approved,Fully Furnished,Yes,No,No,Yes,2
PROP-00034,Rental,Maharashtra,Mumbai,Tier 1,19.123200532963153,72.83783728975531,Builder Floor,2,1132,64989.13,57.41,195,Stale,2026,April,2024,New (2023-2026),RERA Approved,Fully Furnished,Yes,No,No,No,1
PROP-00035,Rental,Maharashtra,Mumbai,Tier 1,19.086852727269648,72.85548527760898,Apartment,1,552,29837.84,54.05,55,Fast,2024,December,2019,Modern (2016-2022),Awaiting Approval,Unfurnished,Yes,Yes,No,No,2
PROP-00036,Rental,Telangana,Hyderabad,Tier 1,17.369950637208685,78.46433191084658,Builder Floor,2,1133,22213.09,19.61,145,Moderate,2023,November,1983,Mature (Pre-2001),Non-RERA / NA,Unfurnished,Yes,No,No,No,1
PROP-00037,Sale,Delhi,Delhi NCR,Tier 1,28.575309578488795,77.20220189275945,Builder Floor,2,1362,11979860.81,8795.79,172,Moderate,2023,August,2021,Modern (2016-2022),RERA Approved,Fully Furnished,No,No,No,No,0
PROP-00038,Sale,Telangana,Hyderabad,Tier 1,17.350124682873496,78.53473687409422,Independent House/Villa,4,3118,26135389.97,8382.1,315,Stale,2023,December,2018,Modern (2016-2022),RERA Approved,Fully Furnished,No,No,No,Yes,1
PROP-00039,Rental,Maharashtra,Mumbai,Tier 1,19.048531692995123,72.83445025466838,Independent House/Villa,3,1891,111122.41,58.76,113,Moderate,2025,April,2025,New (2023-2026),RERA Approved,Fully Furnished,Yes,No,No,Yes,2
PROP-00040,Sale,Delhi,Delhi NCR,Tier 1,28.58899666613403,77.21087009943807,Apartment,4,2393,22273707.86,9307.86,211,Stale,2025,December,2020,Modern (2016-2022),Non-RERA / NA,Fully Furnished,Yes,No,Yes,Yes,3
PROP-00041,Sale,Maharashtra,Pune,Tier 1,18.555461605784114,73.82463646820122,Builder Floor,3,1848,16318845.6,8830.54,304,Stale,2022,April,2022,Modern (2016-2022),Non-RERA / NA,Semi-Furnished,Yes,No,No,No,1
PROP-00042,Sale,Gujarat,Ahmedabad,Tier 2,23.028622278828255,72.61846765454096,Apartment,2,900,4136279.24,4595.87,114,Moderate,2025,April,1985,Mature (Pre-2001),RERA Approved,Semi-Furnished,Yes,No,No,Yes,2
PROP-00043,Sale,Delhi,Delhi NCR,Tier 1,28.616239091137437,77.17033035047275,Apartment,1,510,6068192.0,11898.42,200,Stale,2024,February,2014,Vintage (2001-2015),RERA Approved,Semi-Furnished,Yes,No,No,No,1
PROP-00044,Rental,Maharashtra,Pune,Tier 1,18.48187688718692,73.84706010023616,Apartment,3,1371,41149.46,30.01,156,Moderate,2025,January,2015,Vintage (2001-2015),RERA Approved,Unfurnished,Yes,No,Yes,Yes,3
PROP-00045,Sale,Rajasthan,Jaipur,Tier 2,26.948413969334943,75.81108849848346,Apartment,2,1130,4948707.04,4379.39,247,Stale,2026,January,2016,Modern (2016-2022),RERA Approved,Semi-Furnished,Yes,No,No,Yes,2
PROP-00046,Rental,Maharashtra,Pune,Tier 1,18.542681430320847,73.87715544280275,Apartment,2,1153,26275.65,22.79,132,Moderate,2025,March,2020,Modern (2016-2022),RERA Approved,Semi-Furnished,Yes,No,No,No,1
PROP-00047,Sale,Delhi,Delhi NCR,Tier 1,28.57066683619,77.2012728636894,Apartment,2,892,11399597.14,12779.82,109,Moderate,2024,June,2022,Modern (2016-2022),RERA Approved,Semi-Furnished,Yes,Yes,No,Yes,3
PROP-00048,Sale,Maharashtra,Mumbai,Tier 1,19.09678350972298,72.86235241679528,Apartment,2,1052,21774899.44,20698.57,14,Fast,2022,December,2002,Vintage (2001-2015),RERA Approved,Semi-Furnished,Yes,No,Yes,No,2
PROP-00049,Sale,Rajasthan,Jaipur,Tier 2,26.916753821734265,75.77706123785529,Builder Floor,2,1411,7478189.65,5299.92,360,Stale,2023,August,1983,Mature (Pre-2001),RERA Approved,Semi-Furnished,Yes,Yes,Yes,Yes,4
PROP-00050,Sale,Maharashtra,Mumbai,Tier 1,19.03417253457468,72.85412762631587,Apartment,2,1224,26445621.82,21605.9,152,Moderate,2024,April,2019,Modern (2016-2022),RERA Approved,Unfurnished,Yes,No,No,Yes,2
PROP-00051,Rental,Rajasthan,Jaipur,Tier 2,26.908230064152868,75.75783329387068,Builder Floor,1,738,10167.18,13.78,144,Moderate,2026,February,2006,Vintage (2001-2015),RERA Approved,Unfurnished,Yes,No,No,Yes,2
PROP-00052,Rental,Karnataka,Bengaluru,Tier 1,12.970069628713006,77.5929039697559,Independent House/Villa,3,2583,79778.07,30.89,194,Stale,2023,August,2018,Modern (2016-2022),RERA Approved,Unfurnished,No,No,No,Yes,1
PROP-00053,Rental,Maharashtra,Chhatrapati Sambhajinagar,Tier 2,19.84277745401633,75.32015337560676,Independent House/Villa,1,1170,14684.38,12.55,98,Moderate,2026,May,2021,Modern (2016-2022),RERA Approved,Unfurnished,Yes,No,No,No,1
PROP-00054,Rental,Gujarat,Ahmedabad,Tier 2,23.06706981470003,72.55014616648972,Apartment,1,503,9595.95,19.08,233,Stale,2023,February,2018,Modern (2016-2022),RERA Approved,Fully Furnished,No,No,No,Yes,1
PROP-00055,Sale,Maharashtra,Chhatrapati Sambhajinagar,Tier 2,19.911197537148066,75.35897560634746,Independent House/Villa,2,1902,9934245.69,5223.05,67,Moderate,2023,June,2022,Modern (2016-2022),RERA Approved,Unfurnished,Yes,Yes,No,Yes,3
PROP-00056,Rental,Delhi,Delhi NCR,Tier 1,28.63080223373291,77.25585373317,Apartment,3,1570,56303.03,35.86,344,Stale,2024,December,2024,New (2023-2026),RERA Approved,Unfurnished,Yes,Yes,No,Yes,3
PROP-00057,Sale,Telangana,Hyderabad,Tier 1,17.381229556100063,78.49706372005593,Independent House/Villa,2,1662,13193236.08,7938.17,29,Fast,2022,January,2021,Modern (2016-2022),RERA Approved,Semi-Furnished,Yes,Yes,No,No,2
PROP-00058,Sale,Karnataka,Bengaluru,Tier 1,12.96277655415845,77.5522979467065,Apartment,2,1046,8344974.72,7977.99,272,Stale,2023,September,2018,Modern (2016-2022),RERA Approved,Semi-Furnished,Yes,No,No,No,1
PROP-00059,Sale,Karnataka,Bengaluru,Tier 1,12.986697346715095,77.55215836138541,Builder Floor,2,1426,11766222.61,8251.21,285,Stale,2026,February,2024,New (2023-2026),RERA Approved,Unfurnished,Yes,No,No,Yes,2
PROP-00060,Sale,Maharashtra,Pune,Tier 1,18.52494318694069,73.90184232208456,Builder Floor,2,1419,13060103.71,9203.74,15,Fast,2024,December,2022,Modern (2016-2022),RERA Approved,Semi-Furnished,Yes,No,Yes,Yes,3
PROP-00061,Sale,Rajasthan,Jaipur,Tier 2,26.86862731058819,75.76702907903073,Apartment,4,2022,9071046.75,4486.18,324,Stale,2024,September,1984,Mature (Pre-2001),RERA Approved,Semi-Furnished,Yes,No,No,No,1
PROP-00062,Sale,Maharashtra,Chhatrapati Sambhajinagar,Tier 2,19.877450264877034,75.30250669860824,Apartment,4,1966,11481251.61,5839.9,205,Stale,2022,August,2020,Modern (2016-2022),Awaiting Approval,Unfurnished,Yes,Yes,Yes,No,3
PROP-00063,Rental,Telangana,Hyderabad,Tier 1,17.415640361723284,78.49660445871504,Independent House/Villa,2,1674,36483.26,21.79,130,Moderate,2022,June,2017,Modern (2016-2022),RERA Approved,Unfurnished,Yes,No,Yes,Yes,3
PROP-00064,Sale,Karnataka,Bengaluru,Tier 1,12.967523987759696,77.60696487782903,Apartment,2,1079,10683618.9,9901.41,310,Stale,2024,March,2023,New (2023-2026),RERA Approved,Fully Furnished,Yes,Yes,No,No,2
PROP-00065,Sale,Karnataka,Bengaluru,Tier 1,12.926795657755427,77.60945048201187,Builder Floor,3,1607,16334733.89,10164.74,194,Stale,2023,March,2023,New (2023-2026),RERA Approved,Fully Furnished,Yes,Yes,No,No,2
PROP-00066,Sale,Telangana,Hyderabad,Tier 1,17.413627819938405,78.46344020278575,Apartment,1,583,3584110.39,6147.7,93,Moderate,2026,January,2016,Modern (2016-2022),RERA Approved,Semi-Furnished,No,Yes,Yes,No,2
PROP-00067,Sale,Delhi,Delhi NCR,Tier 1,28.584036378213597,77.16051106842146,Apartment,2,1044,10317759.53,9882.91,359,Stale,2024,March,2019,Modern (2016-2022),RERA Approved,Unfurnished,Yes,No,No,No,1
PROP-00068,Rental,Maharashtra,Mumbai,Tier 1,19.051862083488803,72.92420153694545,Builder Floor,2,1180,57605.65,48.82,120,Moderate,2024,June,2014,Vintage (2001-2015),RERA Approved,Semi-Furnished,Yes,No,No,No,1
PROP-00069,Sale,Delhi,Delhi NCR,Tier 1,28.58037063534323,77.18408930456911,Independent House/Villa,4,2321,27943010.06,12039.21,356,Stale,2023,May,2022,Modern (2016-2022),RERA Approved,Semi-Furnished,Yes,No,No,Yes,2
PROP-00070,Rental,Delhi,Delhi NCR,Tier 1,28.59692150648715,77.22660262880525,Independent House/Villa,1,1040,29644.13,28.5,181,Stale,2025,April,2020,Modern (2016-2022),Non-RERA / NA,Unfurnished,Yes,No,No,No,1
PROP-00071,Rental,Delhi,Delhi NCR,Tier 1,28.639575150568863,77.22966298698788,Apartment,2,1229,41794.52,34.01,18,Fast,2024,March,2022,Modern (2016-2022),RERA Approved,Semi-Furnished,Yes,No,No,Yes,2
PROP-00072,Sale,Delhi,Delhi NCR,Tier 1,28.615838585950396,77.22000074170795,Independent House/Villa,3,2041,21970254.71,10764.46,261,Stale,2024,August,2023,New (2023-2026),RERA Approved,Semi-Furnished,No,Yes,No,No,1
PROP-00073,Sale,Maharashtra,Mumbai,Tier 1,19.04648812741507,72.85899073942137,Apartment,2,917,20584153.97,22447.28,213,Stale,2023,February,2023,New (2023-2026),RERA Approved,Semi-Furnished,Yes,No,No,Yes,2
PROP-00074,Rental,Maharashtra,Mumbai,Tier 1,19.113783007815204,72.8548096253764,Apartment,1,517,29615.84,57.28,285,Stale,2025,June,2024,New (2023-2026),Non-RERA / NA,Semi-Furnished,No,No,No,Yes,1
PROP-00075,Rental,Maharashtra,Chhatrapati Sambhajinagar,Tier 2,19.914158185495154,75.35306682827027,Independent House/Villa,4,2529,36793.38,14.55,332,Stale,2023,October,2021,Modern (2016-2022),Awaiting Approval,Fully Furnished,Yes,No,No,No,1
PROP-00076,Rental,Karnataka,Bengaluru,Tier 1,13.0086578425046,77.63120956336117,Apartment,2,864,24588.5,28.46,329,Stale,2025,April,2024,New (2023-2026),RERA Approved,Semi-Furnished,Yes,No,No,No,1
PROP-00077,Rental,Karnataka,Bengaluru,Tier 1,12.945479621138155,77.63927337289233,Apartment,2,979,23196.89,23.69,109,Moderate,2025,July,1985,Mature (Pre-2001),Awaiting Approval,Fully Furnished,Yes,No,No,Yes,2
PROP-00078,Sale,Telangana,Hyderabad,Tier 1,17.3801239344181,78.44729058044038,Apartment,2,1067,9229884.97,8650.31,151,Moderate,2023,April,2021,Modern (2016-2022),RERA Approved,Unfurnished,Yes,No,No,Yes,2
PROP-00079,Sale,Delhi,Delhi NCR,Tier 1,28.662398965614088,77.17448286125978,Independent House/Villa,2,1713,19882476.8,11606.82,283,Stale,2025,December,2024,New (2023-2026),Awaiting Approval,Fully Furnished,Yes,No,No,Yes,2
PROP-00080,Sale,Maharashtra,Chhatrapati Sambhajinagar,Tier 2,19.903401247631,75.38777362587831,Apartment,2,992,4983546.16,5023.74,13,Fast,2022,June,2021,Modern (2016-2022),Awaiting Approval,Unfurnished,Yes,No,Yes,No,2
PROP-00081,Rental,Gujarat,Ahmedabad,Tier 2,22.97521674212256,72.59505352283348,Independent House/Villa,1,1131,22749.67,20.11,122,Moderate,2025,September,2020,Modern (2016-2022),RERA Approved,Unfurnished,Yes,Yes,No,No,2
PROP-00082,Rental,Maharashtra,Mumbai,Tier 1,19.03252045912605,72.91599938248298,Apartment,1,618,31473.39,50.93,98,Moderate,2022,June,2022,Modern (2016-2022),RERA Approved,Semi-Furnished,No,No,No,Yes,1
PROP-00083,Sale,Karnataka,Bengaluru,Tier 1,12.967993137681233,77.56486326341353,Apartment,3,1501,14515857.99,9670.79,148,Moderate,2023,April,2003,Vintage (2001-2015),RERA Approved,Semi-Furnished,Yes,No,No,No,1
PROP-00084,Sale,Rajasthan,Jaipur,Tier 2,26.953322020586157,75.79605858711095,Independent House/Villa,2,1525,7485869.8,4908.77,293,Stale,2022,December,1982,Mature (Pre-2001),RERA Approved,Fully Furnished,No,No,No,No,0
PROP-00085,Sale,Maharashtra,Chhatrapati Sambhajinagar,Tier 2,19.880070179795272,75.36341395944174,Apartment,1,473,1781180.7,3765.71,18,Fast,2023,March,2022,Modern (2016-2022),RERA Approved,Semi-Furnished,Yes,No,No,Yes,2
PROP-00086,Sale,Karnataka,Bengaluru,Tier 1,12.971381250803429,77.61261118854469,Apartment,2,1033,10303155.73,9974.01,261,Stale,2024,November,2019,Modern (2016-2022),RERA Approved,Unfurnished,Yes,No,No,No,1
PROP-00087,Rental,Maharashtra,Pune,Tier 1,18.48094736999566,73.84751516908668,Apartment,3,1730,34199.18,19.77,350,Stale,2024,December,2024,New (2023-2026),RERA Approved,Semi-Furnished,No,No,No,Yes,1
PROP-00088,Rental,Maharashtra,Mumbai,Tier 1,19.091678010472428,72.82923948916914,Apartment,1,466,24649.68,52.9,190,Stale,2025,September,2020,Modern (2016-2022),RERA Approved,Semi-Furnished,No,Yes,No,No,1
PROP-00089,Rental,Maharashtra,Chhatrapati Sambhajinagar,Tier 2,19.908410316060024,75.35159260568042,Independent House/Villa,2,1813,22679.71,12.51,349,Stale,2023,September,2021,Modern (2016-2022),RERA Approved,Semi-Furnished,Yes,Yes,No,Yes,3
PROP-00090,Sale,Delhi,Delhi NCR,Tier 1,28.601942000750757,77.18431015391796,Apartment,1,429,5418967.5,12631.63,211,Stale,2023,August,2021,Modern (2016-2022),RERA Approved,Semi-Furnished,Yes,No,No,Yes,2
PROP-00091,Sale,Maharashtra,Chhatrapati Sambhajinagar,Tier 2,19.903761185092534,75.33832542461428,Independent House/Villa,1,1119,5352828.52,4783.58,350,Stale,2023,June,2022,Modern (2016-2022),RERA Approved,Semi-Furnished,Yes,No,No,Yes,2
PROP-00092,Rental,Maharashtra,Pune,Tier 1,18.56684766539008,73.90245810150839,Apartment,1,580,14548.51,25.08,176,Moderate,2023,April,2018,Modern (2016-2022),RERA Approved,Fully Furnished,Yes,No,No,Yes,2
PROP-00093,Rental,Maharashtra,Pune,Tier 1,18.490776645912767,73.84660353176425,Apartment,3,1478,38237.81,25.87,274,Stale,2025,July,2023,New (2023-2026),RERA Approved,Fully Furnished,Yes,Yes,No,No,2
PROP-00094,Sale,Karnataka,Bengaluru,Tier 1,12.973932963119475,77.62858016066644,Builder Floor,1,752,6931788.18,9217.8,225,Stale,2024,March,2023,New (2023-2026),RERA Approved,Unfurnished,Yes,Yes,No,Yes,3
PROP-00095,Rental,Delhi,Delhi NCR,Tier 1,28.592613795808457,77.17785406057493,Apartment,1,465,13869.03,29.83,156,Moderate,2022,July,2017,Modern (2016-2022),RERA Approved,Semi-Furnished,No,Yes,No,Yes,2
PROP-00096,Sale,Maharashtra,Mumbai,Tier 1,19.105285441903384,72.89494604980251,Apartment,2,1146,21327436.65,18610.33,115,Moderate,2024,October,2019,Modern (2016-2022),Non-RERA / NA,Semi-Furnished,No,No,No,No,0
PROP-00097,Sale,Delhi,Delhi NCR,Tier 1,28.621659336588117,77.2567006954439,Apartment,3,1306,12806065.04,9805.56,187,Stale,2026,May,2006,Vintage (2001-2015),RERA Approved,Semi-Furnished,Yes,No,No,Yes,2
PROP-00098,Sale,Maharashtra,Mumbai,Tier 1,19.089458241755032,72.83788931008729,Apartment,2,1191,23594364.11,19810.55,343,Stale,2023,December,2022,Modern (2016-2022),RERA Approved,Semi-Furnished,Yes,No,No,Yes,2
PROP-00099,Sale,Gujarat,Ahmedabad,Tier 2,23.05229141596159,72.52223199422272,Apartment,2,929,4094617.88,4407.55,76,Moderate,2023,June,2013,Vintage (2001-2015),RERA Approved,Fully Furnished,No,No,No,No,0
PROP-00100,Sale,Delhi,Delhi NCR,Tier 1,28.603497047266245,77.20235827926327,Apartment,1,599,6409930.05,10701.05,287,Stale,2023,March,2018,Modern (2016-2022),RERA Approved,Semi-Furnished,Yes,No,No,No,1
PROP-00101,Sale,Maharashtra,Mumbai,Tier 1,19.117509006840706,72.83696254830514,Apartment,2,991,17703841.25,17864.62,78,Moderate,2022,October,2021,Modern (2016-2022),RERA Approved,Fully Furnished,Yes,No,No,Yes,2
PROP-00102,Rental,Maharashtra,Chhatrapati Sambhajinagar,Tier 2,19.879502886724616,75.36813843496762,Apartment,2,1139,20654.55,18.13,359,Stale,2026,May,2021,Modern (2016-2022),RERA Approved,Fully Furnished,Yes,Yes,No,Yes,3
PROP-00103,Sale,Rajasthan,Jaipur,Tier 2,26.878195482283537,75.82875486638486,Apartment,2,977,4269303.88,4369.81,219,Stale,2023,May,2021,Modern (2016-2022),RERA Approved,Fully Furnished,Yes,No,No,No,1
PROP-00104,Sale,Rajasthan,Jaipur,Tier 2,26.93198991181688,75.78070209727088,Apartment,2,1212,4523010.83,3731.86,332,Stale,2026,January,2006,Vintage (2001-2015),Awaiting Approval,Fully Furnished,No,No,No,Yes,1
PROP-00105,Rental,Maharashtra,Chhatrapati Sambhajinagar,Tier 2,19.905526135043825,75.31917116421555,Apartment,2,900,13638.99,15.15,27,Fast,2022,October,2021,Modern (2016-2022),RERA Approved,Semi-Furnished,Yes,Yes,No,Yes,3
PROP-00106,Sale,Maharashtra,Mumbai,Tier 1,19.057676167706752,72.87114033190066,Independent House/Villa,1,1013,31300938.98,30899.25,72,Moderate,2022,March,2017,Modern (2016-2022),RERA Approved,Unfurnished,Yes,Yes,Yes,Yes,4
PROP-00107,Sale,Karnataka,Bengaluru,Tier 1,13.007317925699876,77.616944781785,Builder Floor,2,1256,9125712.21,7265.69,97,Moderate,2024,April,2022,Modern (2016-2022),Awaiting Approval,Semi-Furnished,Yes,No,Yes,Yes,3
PROP-00108,Rental,Telangana,Hyderabad,Tier 1,17.425614325476577,78.43760541615804,Apartment,1,441,9894.47,22.44,325,Stale,2023,March,1983,Mature (Pre-2001),RERA Approved,Unfurnished,No,No,No,No,0
PROP-00109,Sale,Telangana,Hyderabad,Tier 1,17.362690448737784,78.49564539894847,Builder Floor,3,1578,11015852.85,6980.9,328,Stale,2023,June,2021,Modern (2016-2022),RERA Approved,Semi-Furnished,No,No,No,No,0
PROP-00110,Sale,Maharashtra,Mumbai,Tier 1,19.124352147271523,72.88902916848875,Apartment,4,2455,42226254.6,17200.1,67,Moderate,2024,November,1984,Mature (Pre-2001),RERA Approved,Semi-Furnished,Yes,Yes,No,No,2
PROP-00111,Sale,Gujarat,Ahmedabad,Tier 2,22.986571152804878,72.58516882468959,Apartment,4,2481,14034756.17,5656.89,228,Stale,2024,April,2004,Vintage (2001-2015),RERA Approved,Semi-Furnished,Yes,No,No,No,1
PROP-00112,Sale,Delhi,Delhi NCR,Tier 1,28.58410156684025,77.1832022079981,Apartment,3,1500,15150567.17,10100.38,229,Stale,2024,March,2022,Modern (2016-2022),RERA Approved,Fully Furnished,Yes,No,No,Yes,2
